date,listen,nolisten,all
2020-08-07,116,-116,0
2020-08-08,116,-116,0
2020-08-09,116,-116,0
2020-08-10,116,-116,0
2020-08-11,116,-116,0
2020-08-12,116,-116,0
2020-08-13,116,-116,0
2020-08-14,116,-116,0
2020-08-15,116,-116,0
2020-08-16,116,-116,0
2020-08-17,116,-116,0
2020-08-18,116,-116,0
2020-08-19,116,-116,0
2020-08-20,116,-116,0
2020-08-21,116,-116,0
2020-08-22,116,-116,0
2020-08-23,116,-116,0
2020-08-24,116,-116,0
2020-08-25,116,-116,0
2020-08-26,116,-116,0
2020-08-27,116,-116,0
2020-08-28,116,-116,0
2020-08-29,116,-116,0
2020-08-30,116,-116,0
2020-08-31,116,-116,0
2020-09-01,116,-116,0
2020-09-02,116,-116,0
2020-09-03,116,-116,0
2020-09-04,116,-116,0
2020-09-05,116,-116,0
2020-09-06,116,-116,0
2020-09-07,116,-116,0
2020-09-08,116,-116,0
2020-09-09,116,-116,0
2020-09-10,116,-116,0
2020-09-11,116,-116,0
2020-09-12,116,-116,0
2020-09-13,116,-116,0
2020-09-14,116,-116,0
2020-09-15,116,-116,0
2020-09-16,116,-116,0
2020-09-17,116,-116,0
2020-09-18,116,-116,0
2020-09-19,116,-116,0
2020-09-20,116,-116,0
2020-09-21,116,-116,0
2020-09-22,116,-116,0
2020-09-23,116,-116,0
2020-09-24,116,-116,0
2020-09-25,116,-116,0
2020-09-26,116,-116,0
